GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,HelpMojo,854,0,108,0,153,0,70,0,16,0
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,AbstractLifecycleMojo,94,0,4,0,19,0,6,0,4,0
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,ListPhaseMojo,193,0,16,0,37,0,14,0,6,0
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,Groups,3,0,0,0,1,0,1,0,1,0
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,ReportMojo,250,0,4,0,58,0,11,0,9,0
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,ListPluginMojo,130,0,6,0,18,0,7,0,4,0
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,Groups.ByPlugin,3,37,0,6,1,8,1,5,1,2
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,SynchronizedFileReporter,19,0,0,0,6,0,2,0,2,0
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,ListMojo,219,0,8,0,45,0,9,0,5,0
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,Groups.Options,10,11,0,0,4,5,2,2,2,2
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,NoMojoExecution,17,0,0,0,7,0,6,0,6,0
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan,Groups.ByPhase,21,66,3,7,6,12,4,7,2,4
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.util,Objects,0,7,0,2,0,1,0,2,0,1
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.util,LinkedMultimap,14,34,0,0,2,6,2,6,2,6
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,ListPluginTableDescriptor,51,72,0,0,6,25,2,9,2,9
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,AbstractTableDescriptor,3,153,2,13,0,26,2,12,0,4
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,TableColumn,0,81,0,0,0,11,0,3,0,3
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,TableDescriptor,0,4,0,0,0,1,0,1,0,1
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,MojoExecutionDisplay,17,46,3,5,3,12,3,8,1,6
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,Output,6,0,0,0,2,0,2,0,2,0
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,PlainTextMojoExecutionDisplay,11,0,0,0,3,0,2,0,2,0
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,ListTableDescriptor,119,218,4,2,18,61,6,19,3,19
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,ListPhaseTableDescriptor,51,68,0,0,6,25,2,9,2,9
BuildPlan Maven Plugin,org.codehaus.mojo.buildplan.display,MavenPluginPatterns,0,74,0,0,0,17,0,5,0,5
